1,817,273,26,26
2,974,796,18,19
3,207,456,14,29
4,835,854,14,11
5,223,729,23,21
6,217,76,25,21
7,625,569,23,25
8,434,946,16,17
9,906,507,10,26
10,364,640,26,10
11,915,771,12,29
12,736,919,20,26
13,653,413,21,25
14,946,337,21,22
15,700,156,28,29
16,729,42,20,27
17,41,163,25,28
18,628,464,15,15
19,425,90,15,17
20,308,403,27,23
21,133,929,23,12
22,510,93,9,5
23,703,306,13,17
24,86,922,15,29
25,585,981,25,18
26,476,94,22,19
27,485,2,14,11
28,433,777,10,14
29,878,771,25,11
30,367,909,11,10
31,863,261,18,12
32,640,352,16,21
33,786,382,29,25
34,748,464,10,19
35,278,771,20,6
36,89,443,19,12
37,150,645,23,19
38,902,453,20,10
39,446,938,11,29
40,48,897,11,20
41,701,328,21,21
42,793,232,27,28
43,335,184,29,15
44,156,495,27,16
45,296,339,11,25
46,241,763,11,19
47,711,884,11,21
48,449,88,11,14
49,358,107,27,27
50,234,758,15,25
51,764,852,13,12
52,143,119,21,15
53,469,50,14,28
54,791,500,12,21
55,483,122,18,26
56,915,190,21,27
57,117,177,21,22
58,424,162,22,25
59,60,934,28,20
60,868,24,21,21
61,908,418,19,26
62,182,833,20,13
63,322,285,24,15
64,860,273,24,20
65,362,331,11,13
66,139,211,15,25
67,134,482,22,18
68,480,234,13,23
69,588,353,10,27
70,123,586,27,27
71,293,495,15,13
72,335,97,26,16
73,421,876,20,21
74,417,164,20,26
75,493,314,18,25
76,620,217,25,20
77,133,72,19,14
78,923,916,20,17
79,849,93,19,29
80,251,486,24,18
81,512,682,18,16
82,74,785,10,10
83,323,525,16,10
84,424,958,22,17
85,171,158,10,28
86,210,278,14,21
87,136,875,22,25
88,436,230,25,14
89,604,625,22,20
90,428,897,17,11
91,667,359,16,26
92,553,726,13,18
93,134,335,18,19
94,675,832,27,28
95,705,775,22,19
96,918,415,24,16
97,487,750,28,18
98,95,773,16,27
99,110,495,21,17
100,750,438,18,27
101,471,211,11,28
102,751,327,14,19
103,928,964,21,17
104,959,306,18,28
105,707,257,28,20
106,167,341,23,14
107,431,553,18,12
108,602,933,7,5
109,13,313,12,21
110,806,343,15,12
111,477,818,28,17
112,793,342,16,17
113,141,718,24,28
114,786,957,22,28
115,286,854,24,19
116,635,232,13,21
117,918,776,18,20
118,634,116,19,26
119,305,975,13,18
120,906,381,16,21
121,339,582,15,15
122,760,510,22,14
123,468,308,16,26
124,178,900,12,13
125,650,436,29,16
126,663,443,29,15
127,629,545,15,26
128,539,835,12,26
129,516,442,11,29
130,847,243,27,24
131,83,18,26,18
132,378,79,29,18
133,374,47,19,28
134,97,400,22,19
135,358,353,12,16
136,284,595,16,25
137,599,556,10,21
138,701,925,24,29
139,954,539,25,18
140,509,636,25,14
141,414,21,26,19
142,682,730,23,26
143,113,833,10,24
144,392,71,23,15
145,692,67,26,24
146,182,896,20,23
147,976,800,5,4
148,584,347,15,26
149,79,781,23,19
150,554,264,24,17
151,874,372,18,14
152,299,117,12,19
153,101,470,16,18
154,55,396,13,10
155,220,837,28,14
156,810,813,15,17
157,520,727,17,27
158,165,516,27,24
159,852,500,11,12
160,148,465,29,16
161,416,132,11,24
162,973,491,26,22
163,32,36,10,17
164,80,829,22,27
165,533,439,18,24
166,954,154,12,24
167,18,597,29,25
168,735,718,10,13
169,39,163,13,11
170,418,636,13,21
171,22,220,17,25
172,122,123,24,12
173,745,477,17,20
174,96,812,23,18
175,972,536,19,27
176,895,442,29,20
177,247,1,26,24
178,618,548,13,12
179,936,296,14,28
180,327,440,10,24
